jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
663797,Akkithimmayanahatti,Chitradurga,Hosdurga,65315,Devapura,927471,AKKITHIMMAYANAHATTI
169737,Alamaradahatti,Chitradurga,Hiriyur,65285,Suragondanahally,927721,ALAMARADAHATTI
664102,B Hanumapura,Chitradurga,Molakalmuru,65345,Santhegudda,927436,B.HANUMAPURA
664103,B.hanumanagudda,Chitradurga,Molakalmuru,65345,Santhegudda,927435,B.HANUMANAGUDDA
663984,Bangarakkanahalli,Chitradurga,Chitradurga,65227,Turuvanur,605497,Bangarakkanahalli
663901,Bilichittyanahatti,Chitradurga,Hosdurga,65307,Kellodu,927518,BILICHITTYANAHATTI
663986,Bogalerahatti,Chitradurga,Chitradurga,65227,Turuvanur,605498,Bogalerahatti
169710,Chinnaiahnahatti,Chitradurga,Hiriyur,65282,BABBUR,927549,CHINNAYYANAHATTI
663693,Dasayyanahatti,Chitradurga,Holalkere,65343,Madderu,927665,DASAYYANAHATTI
695537,DEVAPURADHAHATTI,Chitradurga,Chitradurga,299805,Godabanahal,917180,DEVAPURADHAHATTI
663732,Doddignahal Hosahatti,Chitradurga,Chitradurga,65244,Alagawadi,927134,DODDIGANAL HOSAHATTI
663970,Erajanahatti,Chitradurga,Chitradurga,65235,Siddapura,927404,ERAJANAHATTI
663810,Galirangyanahatti,Chitradurga,Hosdurga,65317,Devigere,927475,GALIRANGYANAHATTI
169515,Garehatti,Chitradurga,Chitradurga,65257,Cholaghatta,931789,Cholagatta Yane Gaarehatti
663938,Garimbilu,Chitradurga,Hosdurga,65299,S NERLAKERE,927537,GARIMBILU
663936,H S PALYA,Chitradurga,Hosdurga,65299,S NERLAKERE,927538,H.S.PALYA
664029,Hanumapura S,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,927438,HANUMAPURA.S
663972,Hidayathpura,Chitradurga,Chitradurga,65235,Siddapura,927408,HIDAYATHPURA
664379,Hirekattegere Gollarahatti,Chitradurga,Chitradurga,65230,Muddapura,927393,HIREKATTEGERE-GOLLARAHATTI
664062,Hosuru,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,927440,HOSURU
663993,HULLEHAL GOLLARAHATTI,Chitradurga,Chitradurga,65239,Yelagodu,927415,HU.GOLLARAHATTI
663878,Hunasekatti Gollarahatti,Chitradurga,Chitradurga,65246,Hireguntanur,927348,HUNASEKATTI GOLLARAHATTI
663906,Iyyanahalli Kurubarahatti,Chitradurga,Chitradurga,65256,Iyyanahalli,927361,IYYANAHALLI KURUBARAHATTI
663989,Kadambanakatte,Chitradurga,Chitradurga,65227,Turuvanur,605500,Kadambanakatte
663510,Kambadevarahatta,Chitradurga,Holalkere,236415,Adanur,927631,KAMBADEVARAHATTA
663818,KAMBHATHANAHALLI,Chitradurga,Hiriyur,65263,Abbenahole,927542,KAMBHATTANAHALLI
664077,Kelagalahatti,Chitradurga,Molakalmuru,65357,Hangal,927422,KELAGALAHATTI
169456,Kitttadahatti,Chitradurga,Chitradurga,65248,Lakshmisagara,927381,KITTADAHATTI
663776,M G Dibba,Chitradurga,Hosdurga,65324,Bokikere,927464,M.G.DIBBA
663965,MUDDAPURA MYASARAHATTY,Chitradurga,Chitradurga,65230,Muddapura,927416,MYASARAHATTY
664099,Myasarahatti,Chitradurga,Molakalmuru,65355,Rayapura,927396,MYASARAHATTI
696751,OBANNANAHALLI KAVAL,Chitradurga,Challakere,65205,Gowrasamudra,605277,OBANNANAHALLI KAVAL
664330,PANJAIAHNAHATTI,Chitradurga,Chitradurga,65241,Kogunde,927375,PANJAYAHATTI
663923,Rangyanauru,Chitradurga,Hosdurga,65319,Mallappanahalli,927532,RANGYANAURU
664064,Roppa,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,927442,ROPPA
663690,S H Halli Gollarhatti,Chitradurga,Holalkere,65333,Gungiganur,927663,S.H.HALLI GOLLARHATTI
170130,Seeneerakatte,Chitradurga,Holalkere,65343,Madderu,927677,SEENEERAKATTE
663991,T.Upparatti,Chitradurga,Chitradurga,65227,Turuvanur,605502,Upparatti
169099,ULLAVARTHI KAVAL,Chitradurga,Challakere,65185,Doddaullarthi,605307,ULLAVARTHI KAVAL
148758,Chelairu,Dakshina Kannada,Mangaluru,61571,CHELAIRU,617521,Chelliru (OG)
148816,Kemminje,Dakshina Kannada,Puttur,61602,Munduru,617734,Kemminje (Rural)
148738,Kuttethuru,Dakshina Kannada,Mangaluru,61560,Permude,617522,Kuthethur (OG)
