state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,CHAMARAJANAGARA,Gundlupet,65110,Kelasur,168835,MALLAMMANAHUNDI,924974,MALLAMMANA HUNDI,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,276,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Hanuru,65148,PONNACHI,168992,PONNACHI,619885,Ponnachi,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,318,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65108,NITRE,168826,RANGANATHAPURA,925001,RANGANATHAPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,325,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65080,PUNAJANURU,693318,RANGASANDRA,924919,RANGASANDRA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,326,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Gundlupet,65130,HOREYALA,636936,RANGUPURA,924963,RANGUPURA,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,327,,,,,,,,,,,,,,unmatched
Karnataka,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,702835,YDIYOORU,924901,YDIYOORU,CHAMARAJANAGARA,CHAMARAJANAGARA.xls,398,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Mudigere,61317,TRIPURA,147737,BARIMALE ESTATE,609937,Barimale Estate,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,100,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Kadur,61183,BASUR,146901,BASURU KAVAL,609409,Basurukaval,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,108,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Chikkamagaluru,61132,KALASAPURA,146654,CHIKKA KALASAPURA,609794,Chikkakalasapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,197,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Narasimharajapura,61253,Honnekudige ( Hanthuvine),147430,HEBBE,609074,Hebbe,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,387,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Kadur,61209,MALLESHWARA,596553,JAMMAPURA (M.KODIHALLI),609437,Jammapura,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,475,,,,,,,,,,,,,,unmatched
Karnataka,CHIKKAMAGALURU,Kadur,0,0,596556,SIDDEGOWDANA KOPPALU,609531,Angajanahalli,CHIKKAMAGALURU,CHIKKAMAGALURU.xls,883,,,,,,,,,,,,,,unmatched
Karnataka,Chikkaballapura,Gudibanda,62600,BEECHAGANAHALLY,154721,GANDAMNAGENAHAIIY,926149,GANDAMNAGENAHALLY(M),Chikkaballapura,Chikkaballapura.xls,378,,,,,,,,,,,,,,unmatched
Karnataka,Chikkaballapura,Gudibanda,62606,HAMPASANDRA,664513,GARUDACHARLAHALLY,925928,GARUDACHARLAHALLY,Chikkaballapura,Chikkaballapura.xls,390,,,,,,,,,,,,,,unmatched
Karnataka,Chikkaballapura,Gauribidanur,62586,B.BOMMASANDRA,665075,MIDDILU,925641,MIDDILU,Chikkaballapura,Chikkaballapura.xls,840,,,,,,,,,,,,,,unmatched
Karnataka,Chikkaballapura,Chintamani,62533,Batlahalli,664864,MUSTURUPATNA,926136,MUSTURUPATNA,Chikkaballapura,Chikkaballapura.xls,872,,,,,,,,,,,,,,unmatched
Karnataka,Chikkaballapura,Gudibanda,62602,Varlakonda,664535,THEELAKUNTAHALLY,926181,THEELAKUNTAHALLY(M),Chikkaballapura,Chikkaballapura.xls,1162,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65238,Kalagere,663933,Ajadnagara,927373,AJADNAGARA,Chitradurga,Chitradurga.xls,14,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65315,Devapura,663797,Akkithimmayanahatti,927471,AKKITHIMMAYANAHATTI,Chitradurga,Chitradurga.xls,18,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hiriyur,65285,Suragondanahally,169737,Alamaradahatti,927721,ALAMARADAHATTI,Chitradurga,Chitradurga.xls,23,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Molakalmuru,65345,Santhegudda,664103,B.hanumanagudda,927435,B.HANUMANAGUDDA,Chitradurga,Chitradurga.xls,53,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65307,Kellodu,663901,Bilichittyanahatti,927518,BILICHITTYANAHATTI,Chitradurga,Chitradurga.xls,109,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65227,Turuvanur,663986,Bogalerahatti,605498,Bogalerahatti,Chitradurga,Chitradurga.xls,110,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hiriyur,65282,BABBUR,169710,Chinnaiahnahatti,927549,CHINNAYYANAHATTI,Chitradurga,Chitradurga.xls,182,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Holalkere,65343,Madderu,663693,Dasayyanahatti,927665,DASAYYANAHATTI,Chitradurga,Chitradurga.xls,200,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,299805,Godabanahal,695537,DEVAPURADHAHATTI,917180,DEVAPURADHAHATTI,Chitradurga,Chitradurga.xls,204,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65244,Alagawadi,663732,Doddignahal Hosahatti,927134,DODDIGANAL HOSAHATTI,Chitradurga,Chitradurga.xls,229,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65235,Siddapura,663970,Erajanahatti,927404,ERAJANAHATTI,Chitradurga,Chitradurga.xls,242,,,,,,,,,,,,,,unmatched
