state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,lgd_village_code,lgd_gp_code,gp_name,district_name,subdistrict_name
Karnataka,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,665269,Hosapalya,938458,CHUNCHAGHATTA,Bengaluru Urban,Bengaluru Urban.xls,233,938458.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665471,Kannahalli Hosahalli,939475,ULLALU K.G,Bengaluru Urban,Bengaluru Urban.xls,292,939475.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665567,Karekalpalya,938424,NAGANATHAPURA,Bengaluru Urban,Bengaluru Urban.xls,296,938424.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665470,Kodigehalli Harijana Colony,612821,Thirumalapura,Bengaluru Urban,Bengaluru Urban.xls,320,612821.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Anekal,61343,Kallubalu,147902,Konnasandra,613261,Chandapura,Bengaluru Urban,Bengaluru Urban.xls,331,613261.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61360,Handenahalli,148003,Kotiganahalli,613263,Kittaganahalli,Bengaluru Urban,Bengaluru Urban.xls,335,613263.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61333,Samandur,665236,Kuvempunagara,613254,Gollahalli,Bengaluru Urban,Bengaluru Urban.xls,350,613254.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665539,Lakshmipura,938467,RAGHAVANAPALYA,Bengaluru Urban,Bengaluru Urban.xls,353,938467.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Anekal,61333,Samandur,665231,Madiwala,613260,Heelalige,Bengaluru Urban,Bengaluru Urban.xls,368,613260.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru North,273464,Kadabagere,665311,Mahimmannanapalya,939417,BOGENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,372,939417.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Anekal,61354,Bidaraguppe,665188,Mallenahallli,613360,Jigani (CT),Bengaluru Urban,Bengaluru Urban.xls,378,613360.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61333,Samandur,147838,Marnayakanahalli,613265,Iggalur,Bengaluru Urban,Bengaluru Urban.xls,394,613265.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61337,Vanakanahalli,147863,Menaseganahalli,939404,BAHDURPURA,Bengaluru Urban,Bengaluru Urban.xls,407,939404.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,61440,Choolanayakanahalli,665502,Metipalya,938487,VASANTAPURA,Bengaluru Urban,Bengaluru Urban.xls,408,938487.0,,,Bengaluru Urban,Bengaluru South
