match_score,match_method,jjm_village,lgd_village,shrug_village,shrug_place,jjm_district,shrug_district,jjm_block,shrug_subdistrict,jjm_panchayat,jjm_village_id,lgd_village_id,jjm_panchayat_id,shrid2
82.35294117647058,fuzzy,Chinnakote,Chinnakote (OG),chinnakamanahalli,chinnakamanahalli,Kolar,kolar,Bangarapet,bangarapet,Chinna Kota,153638,622847,62474,11-29-581-05593-622630
76.92307692307692,fuzzy,Chamundibetta,Chamundibetta (OG),bettadur,bettadur,Mysuru,mysore,Mysuru,hunsur,Chamundibetta,664413,618837,299748,11-29-577-05570-618452
76.19047619047619,fuzzy,Gobbalikaval,Gobbalikaval,sathyagalakaval,sathyagalakaval,Mysuru,mysore,Piriyapatna,piriyapatna,Kanagalu,158757,618091,63183,11-29-577-05569-618284
83.33333333333334,fuzzy,Hinkal,Hinkal (CT),chikkalaxmipura,chikkalaxmipura,Mysuru,mysore,Mysuru,tirumakudal narsipur,Hinkal,664401,618829,299749,11-29-577-05575-619352
83.33333333333334,fuzzy,INURMARIGUDIJUNGLE,AINURU MARIGUDI JANGAL,kanagal,kanagal,Mysuru,mysore,SARAGURU,piriyapatna,B. MATAKERE,158011,619111,63034,11-29-577-05569-618093
84.21052631578947,fuzzy,Lingabudipalya,Lingambudi (OG),bandipalya,bandipalya,Mysuru,mysore,Mysuru,mysore,Srirampura,664404,618839,63118,11-29-577-05572-618733
83.33333333333334,fuzzy,KUNURU,Kunuru,nunnuru,nunnuru,RAMANAGARA,ramanagara,Kanakapura,channapatna,NARAYANAPURA,143066,626483,59978,11-29-584-05607-626305
76.92307692307692,fuzzy,MURKANI,Murkani,muradihosahalli,muradihosahalli,RAMANAGARA,ramanagara,Kanakapura,kanakapura,SOMEDYAPANAHALLI,143007,626435,59966,11-29-584-05608-626441
81.81818181818181,fuzzy,HIREHONKUNI,HIREHONKUNI,chickhonkuni,chickhonkuni,Raichur,raichur,Devadurga,devadurga,Masarkal,700919,600630,63271,11-29-559-05460-600629
75.0,fuzzy,JAVGUD,JAVGUD,gunda,gunda,Raichur,raichur,Devadurga,sindhnur,RAMADURGA,692040,600661,63258,11-29-559-05463-601060
80.0,fuzzy,MANGI GADDE,MANGI GADDE,,manvi,Raichur,raichur,Raichur,manvi,ATHKOOR,692037,600755,63347,11-29-559-05462-803068
75.0,fuzzy,TAMALGHAT (D),TAMALGHAT (D),,hatti,Raichur,raichur,Raichur,lingsugur,Baidoddi,700924,600787,63350,11-29-559-05459-600535
82.35294117647058,fuzzy,Javagatte,JAVAGATTE,balagatte,balagatte,Shivamogga,shimoga,Shikarpur,tirthahalli,Belagavi,161232,607712,63556,11-29-568-05519-608240
80.0,fuzzy,Keluve,KELUVE,biluve,biluve,Shivamogga,shimoga,Sagar,tirthahalli,Kanle,665414,926086,63497,11-29-568-05519-608206
82.35294117647058,fuzzy,Tattegundi,TATTEGUNDI,telagundli,telagundli,Shivamogga,shimoga,Sagar,sorab,Herenelluru,665402,925026,63503,11-29-568-05516-607498
83.33333333333334,fuzzy,YALAKUNDLI,YALAKUNDLI,alkuni,alkuni,Shivamogga,shimoga,Sagar,shimoga,Herenelluru,665395,925027,63503,11-29-568-05520-608303
83.33333333333334,fuzzy,Ambalapadi,Ambalpady (OG),halady -76,halady -76,Udupi,udupi,Udupi,kundapura,Ambalapadi,168572,608861,65033,11-29-569-05522-608750
75.0,fuzzy,Kadekar,Kadekar (OG),kadur,kadur,Udupi,udupi,Udupi,udupi,Kadekaru,168575,608863,65034,11-29-569-05523-608785
80.0,fuzzy,Kuthpadi,Kuthpady (OG),idurkunhadi,idurkunhadi,Udupi,udupi,Udupi,kundapura,Kadekaru,168576,608864,65034,11-29-569-05522-608707
80.0,fuzzy,Ingalki,Ingalki,kalkai,kalkai,Uttara Kannada,uttara kannada,Mundgod,sirsi,Pala,165139,603068,64114,11-29-563-05483-603237
80.0,fuzzy,KANCHINMALE,KANCHINMALE,kanchikai,kanchikai,Uttara Kannada,uttara kannada,Ankola,siddapur,AGSUR,697070,603344,63996,11-29-563-05486-603530
76.92307692307692,fuzzy,Lakkeguli,Lakkeguli,kusguli,kusguli,Uttara Kannada,uttara kannada,Ankola,yellapur,HATTIKERI,164658,603337,64011,11-29-563-05481-602962
82.35294117647058,fuzzy,Laxmeshwar,Laxmeshwar (OG),kalleshwar,kalleshwar,Uttara Kannada,uttara kannada,Ankola,ankola,Vandige,164580,603408,63994,11-29-563-05484-603356
83.33333333333334,fuzzy,Vandige,Vandige (OG),kendige,kendige,Uttara Kannada,uttara kannada,Ankola,ankola,Vandige,164581,603409,63994,11-29-563-05484-603338
83.33333333333334,fuzzy,KAPANUR,Kapanur,padanur,padanur,VIJAYAPURA,bijapur,Muddebihal,indi,RAKKASAGI,146351,599642,61060,11-29-557-05450-599212
83.33333333333334,fuzzy,SANGAM,Sangam,sangwar,sangwar,Yadgir,yadgir,WADAGERA,yadgir,GONAL,150136,621220,62017,11-29-580-05589-621379
76.92307692307692,phonetic_lower_threshold,YADIYOORU,YADIYOORU,dibburu,dibburu,Bengaluru Urban,bangalore,YELAHANKA,bangalore north,Bandikodagehalli,665249,925868,61391,11-29-572-05542-612850
71.42857142857143,phonetic_lower_threshold,CIKKEMPIHUNDI,CIKKEMPIHUNDI,hundipura,hundipura,CHAMARAJANAGARA,chamarajanagar,Chamarajanagar,gundlupet,UDIGALA,693319,924932,65066,11-29-578-05576-619584
77.77777777777779,phonetic_lower_threshold,DODDARAYAPET,DODDARAYAPETE,doddathuppur,doddathuppur,CHAMARAJANAGARA,chamarajanagar,Chamarajanagar,gundlupet,Kudluru,168753,924892,65091,11-29-578-05576-619511
83.33333333333334,phonetic_lower_threshold,K.K HUNDI,KADTALKATTIHUNDI,hundipura,hundipura,CHAMARAJANAGARA,chamarajanagar,Gundlupet,gundlupet,KODASOGE,168817,924977,65107,11-29-578-05576-619584
81.81818181818181,phonetic_lower_threshold,KURUBARAHUNDI,KURUBARA HUNDI,kumbaragundi,kumbaragundi,CHAMARAJANAGARA,chamarajanagar,Gundlupet,chamarajanagar,KOTEKERE,168912,924985,65127,11-29-578-05577-619711
71.42857142857143,phonetic_lower_threshold,PONNACHI,Ponnachi,honnahalli,honnahalli,CHAMARAJANAGARA,chamarajanagar,Hanuru,chamarajanagar,PONNACHI,168992,619885,65148,11-29-578-05577-619741
75.0,phonetic_lower_threshold,RANGASANDRA,RANGASANDRA,annur,annur,CHAMARAJANAGARA,chamarajanagar,Chamarajanagar,gundlupet,PUNAJANURU,693318,924919,65080,11-29-578-05576-619514
83.33333333333334,phonetic_lower_threshold,YDIYOORU,YDIYOORU,maliyuru,maliyuru,CHAMARAJANAGARA,chamarajanagar,Chamarajanagar,chamarajanagar,MANGALA,702835,924901,65088,11-29-578-05577-619689
75.0,phonetic_lower_threshold,MIDDILU,MIDDILU,billur,billur,Chikkaballapura,chikkaballapura,Gauribidanur,bagepalli,B.BOMMASANDRA,665075,925641,62586,11-29-582-05598-623930
66.66666666666667,phonetic_lower_threshold,Garimbilu,GARIMBILU,garaga,garaga,Chitradurga,chitradurga,Hosdurga,hosdurga,S NERLAKERE,663938,927537,65299,11-29-566-05507-605984
61.53846153846154,phonetic_lower_threshold,M G Dibba,M.G.DIBBA,gudihalli,gudihalli,Chitradurga,chitradurga,Hosdurga,challakere,Bokikere,663776,927464,65324,11-29-566-05504-605312
66.66666666666667,phonetic_lower_threshold,Neerumarga,Neermarga (CT),nellikaru,nellikaru,Dakshina Kannada,dakshina kannada,Mangaluru,mangalore,Neermarga,587769,617510,236263,11-29-575-05561-617467
72.72727272727273,phonetic_lower_threshold,HUDUGURU,HUDUGURU,bengooru,bengooru,Kodagu,kodagu,Kushalanagar,madikeri,0,661841,923992,0,11-29-576-05566-617804
71.42857142857143,phonetic_lower_threshold,IRRALAPODU,Irlapodu,veerapura,veerapura,RAMANAGARA,ramanagara,Kanakapura,magadi,Bannimukkodlu,142933,626625,59953,11-29-584-05605-625823
72.72727272727273,phonetic_lower_threshold,Dibbanakedi {d),Dibbanakhed,shankerbandi d,shankerbandi d,Raichur,raichur,Sindhanur,sindhnur,Jawalgera,589906,601156,63385,11-29-559-05463-601134
83.33333333333334,phonetic_lower_threshold,Basavanadurga,Basavanadurga,,sandur,Vijayanagar,bellary,Hosapete,sandur,NAGENAHALLI,671295,604709,60624,11-29-565-05501-803115
