jjm_village_id,jjm_village,jjm_district,lgd_village_id,matched_shrug_id,matched_shrug_name,matched_shrug_district,match_type,match_score
664078,Megalahatti,Chitradurga,927424,605551,megalahalli,chitradurga,fuzzy_name,81.81818181818181
664099,Myasarahatti,Chitradurga,927396,605243,mallaurahatti,chitradurga,fuzzy_name,80.0
696751,OBANNANAHALLI KAVAL,Chitradurga,605277,605278,obannanahalli,chitradurga,fuzzy_name,81.25
664330,PANJAIAHNAHATTI,Chitradurga,927375,605249,naikanahatti,chitradurga,fuzzy_name,81.4814814814815
170130,Seeneerakatte,Chitradurga,927677,605942,seeranakatte,chitradurga,fuzzy_name,80.0
671256,Bala,Dakshina Kannada,617523,617782,balpa,dakshina kannada,fuzzy_name,88.88888888888889
167328,Agasanakatte,Davangere,606542,606624,agasanakatte,davanagere,fuzzy_name,100.0
167522,Akali Katte,Davangere,607016,606970,arlikatte,davanagere,fuzzy_name,80.0
167563,Basavapura,Davangere,606909,606451,basavapura,davanagere,fuzzy_name,100.0
167410,Hanumanahalli,Davangere,606669,606660,hanumanahalli,davanagere,fuzzy_name,100.0
167920,Karalahalli,Davangere,606271,606248,haralahalli,davanagere,fuzzy_name,90.9090909090909
586897,Kolamaghatta,Davangere,910406,606442,kolamaghatta,davanagere,fuzzy_name,100.0
167326,Lingapura,Davangere,606608,606870,lingapura,davanagere,fuzzy_name,100.0
167609,Siddapura,Davangere,606937,606716,siddapura,davanagere,fuzzy_name,100.0
167555,Yekkegondi,Davangere,606936,606949,yekkegondi,davanagere,fuzzy_name,100.0
588430,Hosahalli,Gadag,924604,601950,hosalli,gadag,fuzzy_name,87.5
152693,B.katihalli,Hassan,616230,616401,katihalli,hassan,fuzzy_name,94.73684210526316
152718,Doddamandignahalli,Hassan,616232,616024,doddabaganahalli,hassan,fuzzy_name,82.35294117647058
151303,Kallusadarahalli,Hassan,615603,615884,kalludevarahalli,hassan,fuzzy_name,87.5
152739,Karle Kaval,Hassan,616143,615960,karebore kaval,hassan,fuzzy_name,80.0
151374,Koranahalli,Hassan,615556,615291,komaranahalli,hassan,fuzzy_name,91.66666666666666
151329,Kumbaragatta,Hassan,615641,615578,kommaraghatta,hassan,fuzzy_name,80.0
152696,Lakshmisagar,Hassan,939319,616068,lakshmisagara,hassan,fuzzy_name,96.0
151437,Maratagere,Hassan,615588,617311,madalagere,hassan,fuzzy_name,80.0
151465,Mootikere,Hassan,615758,617335,metikere,hassan,fuzzy_name,82.35294117647058
152767,Mosalehosahalli,Hassan,926830,616752,moole hosahalli,hassan,fuzzy_name,86.66666666666667
589427,Srirampura,Hassan,616806,615559,rampura,hassan,fuzzy_name,82.35294117647058
152637,Thamlapura,Hassan,616047,616747,hampapura,hassan,fuzzy_name,84.21052631578947
152734,Yareborekaval,Hassan,938891,615960,karebore kaval,hassan,fuzzy_name,88.88888888888889
166656,Aregoppa.,Haveri,604098,604553,harogoppa,haveri,fuzzy_name,82.35294117647058
149469,Bhogalingadalli,Kalaburagi,938551,620388,bhoglingdhalli,gulbarga,fuzzy_name,89.65517241379311
665173,Kottapalli,Kalaburagi,620568,620506,kontanpalli,gulbarga,fuzzy_name,85.71428571428572
149760,Kusnoor,Kalaburagi,620266,620447,kupnoor,gulbarga,fuzzy_name,85.71428571428572
149881,NAGARALLI,Kalaburagi,620833,620267,naganhalli,gulbarga,fuzzy_name,84.21052631578947
153485,ATHUR,Kodagu,923974,618041,hathur,kodagu,fuzzy_name,90.9090909090909
701118,ATHUR,Kodagu,924053,618041,hathur,kodagu,fuzzy_name,90.9090909090909
153426,Chennapura,Kodagu,938979,617905,channapura,kodagu,fuzzy_name,90.0
661848,HULUGUNDA,Kodagu,923999,618018,halugunda,kodagu,fuzzy_name,88.88888888888889
661743,KOTTURU,Kodagu,923893,617888,kitturu,kodagu,fuzzy_name,85.71428571428572
153578,MUGUTAGERI,Kodagu,924029,618065,mugatageri,kodagu,fuzzy_name,90.0
695839,SRIMANAGALA,Kodagu,924065,617972,sirangala,kodagu,fuzzy_name,80.0
153466,Yadavanadu Forest 1,Kodagu,923921,617949,yedavanadu forest-2,kodagu,fuzzy_name,86.48648648648648
153641,DEVAGANAHALLI,Kolar,622848,622066,belaganahalli,kolar,fuzzy_name,84.61538461538461
155165,GANGA SANDRA,Kolar,622160,621857,mangasandra,kolar,fuzzy_name,86.95652173913044
153731,PARANDAHALLI,Kolar,622755,622010,barandahalli,kolar,fuzzy_name,91.66666666666666
153642,THAMENAHALLI,Kolar,622550,622662,thammenhalli,kolar,fuzzy_name,91.66666666666666
589757,THIPPABOYENAHALLI,Kolar,622733,621754,thippenahalli,kolar,fuzzy_name,86.66666666666667
157425,Addi Halli,Mandya,613798,613805,addihalli,mandya,fuzzy_name,94.73684210526316
156635,Bedadahalli,Mandya,926860,613779,bettadahalli,mandya,fuzzy_name,86.95652173913044
156778,Bookahallikoppalu,Mandya,613674,614239,kallikoppalu,mandya,fuzzy_name,82.75862068965517
156973,Chikkebagilu,Mandya,614833,614832,chikka abbagilu,mandya,fuzzy_name,81.4814814814815
