jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
143618,Athani Rural,Belagavi,Athni,60054,Athani (Grameen),597300,Athani (Rural) (Part),11-29-555-05434-803024,belgaum,athni,,athni,90.9090909090909,fuzzy
143751,Benakanahalli,Belagavi,Belagavi,60138,Benakanhalli,597799,Benakanahalli (CT),11-29-555-05434-597334,belgaum,athni,adahalli,adahalli,87.5,fuzzy
143954,Budihal,Belagavi,Gokak,60244,Suladhala,597497,Budihal,11-29-555-05433-597134,belgaum,chikodi,budihal,budihal,100.0,fuzzy
143724,Chandur,Belagavi,Belagavi,60125,Sulebhavi,597756,Chandur,11-29-555-05433-597179,belgaum,chikodi,chandur,chandur,100.0,fuzzy
661637,Chikkud,Belagavi,Athni,60084,Saptasagar,597308,Chikkud,11-29-555-05441-598243,belgaum,parasgad,chikkulligeri,chikkulligeri,92.3076923076923,fuzzy
661560,Dharanatti,Belagavi,Belagavi,60141,Dharanatti,597701,Rangadholi,11-29-555-05438-597696,belgaum,belgaum,dharanatti,dharanatti,100.0,fuzzy
144410,Dhupadal,Belagavi,Savadathi,60415,Yakkundi,598228,Dhupdal,11-29-555-05436-597442,belgaum,gokak,dhupadal,dhupadal,100.0,fuzzy
144609,Gaddikaravinakoppa,Belagavi,Bylahongal,60501,Chikkabagewadi,598062,Gaddikurvinkoppa,11-29-555-05441-598270,belgaum,parasgad,kuravinakoppa,kuravinakoppa,92.3076923076923,fuzzy
143707,Gaundawad,Belagavi,Belagavi,60116,Kangrali B.K,597691,Goundawad (Part),11-29-555-05437-597611,belgaum,hukeri,goudawad,goudawad,94.11764705882354,fuzzy
143750,Halgimardi,Belagavi,Belagavi,60137,K. K. Koppa,939170,SU HALAGIMARDI,11-29-555-05435-597367,belgaum,raybag,maradi,maradi,90.9090909090909,fuzzy
143839,Hanchinal K.k.,Belagavi,Chikodi,60196,Karagaon,597236,Hanchinal (K.K.),11-29-555-05433-597122,belgaum,chikodi,hanchinal k s,hanchinal k s,100.0,fuzzy
144201,Hebbanatti,Belagavi,Khanapur,60349,Amate,597819,Habbanatti,11-29-555-05437-597576,belgaum,hukeri,hebbal,hebbal,90.9090909090909,fuzzy
144446,Hidkal,Belagavi,Raybag,60438,Hidkal,597617,Hidakal,11-29-555-05435-597402,belgaum,raybag,hidakal,hidakal,100.0,fuzzy
143664,Hulikatti,Belagavi,Belagavi,60097,Aralikatti,597778,Hulikatti,11-29-555-05436-597482,belgaum,gokak,hulikatti,hulikatti,100.0,fuzzy
664341,Hunnur,Belagavi,Hukeri,60305,Hosur,939177,HONNUR,11-29-555-05433-597158,belgaum,chikodi,kunnur,kunnur,90.9090909090909,fuzzy
143709,Kakati,Belagavi,Belagavi,60117,Kakti,597792,Kakati (CT),11-29-555-05435-597368,belgaum,raybag,devanakatti,devanakatti,83.33333333333334,fuzzy
144601,Kallur,Belagavi,Bylahongal,60499,Maradinagalapur,598064,Kallur,11-29-555-05442-598391,belgaum,ramdurg,kallur,kallur,100.0,fuzzy
143726,Kolikoppa,Belagavi,Belagavi,60126,Tarihal,597777,Kolikopp,11-29-555-05440-598136,belgaum,sampgaon,jalikoppa,jalikoppa,87.5,fuzzy
662242,LAXMESHWAR,Belagavi,MUDALAGI,60270,Sunadholi,597494,Lagameshwar,11-29-555-05436-597508,belgaum,gokak,dhavaleshwar,dhavaleshwar,82.35294117647058,fuzzy
664305,Majati,Belagavi,Hukeri,60294,Naganur K D,923726,MAJATI,11-29-555-05433-597229,belgaum,chikodi,majalatti,majalatti,80.0,fuzzy
664307,Managoan,Belagavi,Hukeri,60294,Naganur K D,923727,MANAGOAN,11-29-555-05436-597489,belgaum,gokak,khanagaon,khanagaon,80.0,fuzzy
144580,Mattikoppa,Belagavi,Bylahongal,60491,Sutagatti,598039,Mattikoppa,11-29-555-05440-598076,belgaum,sampgaon,dastikoppa,dastikoppa,84.21052631578947,fuzzy
144205,Morab,Belagavi,Khanapur,60350,Bailur,597822,Morab,11-29-555-05435-597397,belgaum,raybag,morab,morab,100.0,fuzzy
662240,Mutnal,Belagavi,Gokak,60247,Nandagaon,597437,Mutnal,11-29-555-05438-597791,belgaum,belgaum,mutnal,mutnal,100.0,fuzzy
664359,Parakanatti,Belagavi,Hukeri,60320,Mavanur,923725,PARAKANATTI,11-29-555-05436-597421,belgaum,gokak,khanatti,khanatti,93.33333333333331,fuzzy
