villageid,villagename,districtid
665619,Huchenahalli,190
671295,Basavanadurga,822
0,,612
0,,209
0,,188
0,,204
0,,187
147894,,194
147947,,194
147979,,194
147980,,194
154163,,612
148129,,194
148479,Subbarayappanapalya,194
0,,194
154578,,612
142225,,188
144904,,190
147974,,194
154796,,612
147981,,194
144906,,190
148049,,194
148074,,194
142391,,188
148099,,194
148131,,194
145122,,190
148217,,194
148242,,194
148442,Kannur,194
142727,,188
142834,,188
147865,,194
147915,Hennagara Amanikere,194
147976,,194
142763,,188
154558,,612
142388,,188
142390,,188
148033,,194
148101,,194
148126,,194
142473,,188
148233,,194
148240,,194
154719,,612
143338,,188
167036,,209
147895,,194
147896,,194
144714,,190
143331,,188
147977,,194
147978,,194
148451,Doddagubbi,194
144724,,190
143449,,188
143450,,188
144950,,190
0,,196
154059,,612
142276,,188
154191,,612
147975,,194
147982,,194
148009,,194
142383,,188
144957,,190
148073,,194
148075,,194
142669,,188
166983,,209
148241,,194
148441,Chikka Gubbi,194
147934,,194
142209,DINNURU ,188
154067,,612
143330,,188
166984,,209
142385,,188
148066,,194
148068,,194
142392,,188
148098,,194
148100,,194
148125,,194
154497,,612
148268,Dodda Thogur,194
148325,,194
142382,,188
142384,,188
142386,,188
142411,DARGAJOGIHALLI ,188
147935,,194
147937,,194
148071,,194
148103,,194
148120,,194
148122,,194
141504,HIREMURAMATTI,187
143519,,188
141511,,187
661710,,206
661708,,206
154374,,612
589387,,206
661709,,206
144893,,190
164733,AMGA *,206
164782,,206
164848,,206
141546,,187
142387,,188
142389,,188
148454,,194
147936,,194
147987,,194
148002,,194
148072,,194
154104,,612
148102,,194
148104,,194
148119,,194
154187,,612
142840,,188
165403,,206
148238,,194
143371,,188
143446,,188
588481,,194
588490,,194
143448,,188
143451,,188
143454,,188
143488,,188
154521,,612
588468,,194
588474,,194
588469,,194
588471,,194
588477,,194
588480,,194
661713,,194
661714,,194
665183,Bande Hosur,194
145196,,190
665344,,194
665408,,194
0,,191
693389,VITHALPUR,191
665016,Kasartugaon Wadi,191
664875,JAFARWADI,191
664831,Hallikhed(k) Wadi,191
588400,,188
154721,GANDAMNAGENAHAIIY,612
595076,Methi Melkunda Wadi,191
588457,Hajjargi,191
166656,Aregoppa.,209
141609,,187
588422,,188
141630,,187
665209,RAJAKSABPALYA,194
665249,YADIYOORU,194
154592,,612
141655,,187
588402,,188
665299,,194
665335,,194
665438,,194
665470,Kodigehalli Harijana Colony,194
665374,,194
665392,Parvathaiahana Palya,194
665410,,194
665474,Gangadipura,194
665567,Karekalpalya,194
588721,,188
588421,,188
588714,,188
594616,CHIKKAMARALLI,188
594621,,188
665750,,188
639117,,210
664230,Taralabalunagara,210
595950,Tyavanige Thanda,210
586895,,210
586844,,210
586894,,210
586886,,210
665296,,194
665331,,194
665396,,194
586915,,210
586888,,210
586890,,210
586840,,210
586893,,210
586853,,210
155804,,612
155806,,612
141893,Heggur Rc,187
141923,,187
665581,Shikaripalya,194
665227,Pattareddipalya,194
665211,Pylvanarapalya,194
141986,,187
665259,,194
665300,,194
665302,Chikkagollarahatti,194
161401,Totadakere,204
166854,,209
665247,,194
154810,,612
665362,,194
665380,Pitaganapalya,194
665334,,194
